mse_out,qlike_out
0.698724560039247,0.640565971609953
0.818271127508147,0.898748037177677
0.854223462892564,0.920458197444717
0.902603250214335,0.960965255180443
0.893238712636468,0.954362220536971
0.895093264568236,0.974212218343533
0.911225918053853,0.953980085391497
0.901501717221219,0.968895887279951
0.898241885670464,0.97564223463024
0.902072868993518,0.979161861036406
0.874441791374278,0.965528815631836
0.898264196218549,0.984870720221945
0.927994972269034,0.97604193432081
0.900603674184715,0.981973078942865
0.924461676032961,0.992467983438684
0.906234516231507,0.982978891843594
0.905064706507531,0.983170692640937
0.912985445284734,0.977420709229776
0.936573955476254,0.991468709771384
0.908175186721026,0.985378289141881
0.922957769204179,1.01104009261591
0.948228662497471,1.00055359783419
0.930404841769714,0.982249189250667
0.906363832230545,0.99545147759956
0.912188497476293,0.985859554225465
0.943022910635856,0.992036620367901
0.916770736552676,0.985820062272448
0.89498742294734,0.975003228193449
0.941978508876412,0.983481360293791
0.898562756413112,0.983497388675503
0.925705547109664,0.983458542852132
0.956137305291552,0.99182339493826
0.96347138897274,0.987670437717552
0.918210452145811,1.01573793452123
0.935454243799021,0.990767636028022
0.89782209379683,0.982079297750402
0.945794183670459,0.985371100088176
0.972805790094546,0.984956161844889
0.869979213959674,0.98650807527903
0.923308672816324,1.00179124428434
0.962625113500741,0.987063632175518
0.932811151938862,0.977727650539305
0.867261378993149,0.979913416950931
0.937256402960451,0.986418213601555
0.941826848021732,0.982184689986065
0.906069865260016,0.973787831218006
0.869728851518739,0.992752739001652
0.929596650628237,0.956086460162758
0.911868738138332,0.986766187001489
0.891011918982243,1.00086627583552
0.914355741936371,0.958408318385203
0.903588428112847,0.980394592858536
0.921335018656409,1.03054783412868
0.866616687761094,1.01504550271471
0.933349321571246,0.928396301123267
0.902618793908912,0.981133010687166
0.898159500745608,0.989875802315899
0.923003593030064,0.987779207514979
0.902590417616821,1.04065795474179
0.862818128169042,1.02763996517217
0.911879558552486,0.972263981389314
0.85560673234527,0.963055311034006
0.965168387228388,0.981397229248831
0.870964689591349,0.999264992231536
0.87612762971484,0.996878126356103
0.949577263379041,0.990647829648521
0.86887706497008,0.983730028645677
0.924428966999542,0.987166349054859
0.901437150048227,1.02488555330225
0.85552756675635,0.994078974966805
0.842429368892294,0.982267083871289
0.836281161543428,0.971496545794778
0.901588899430894,0.954162100091509
0.874166256121961,0.985166035741655
0.937039970293635,0.985454360948116
0.879968889386656,0.974392551973135
0.876329845760197,0.976464986526396
0.858011985278679,0.930373267094056
